# Lambda (Å), Efficiency
3.649999999999999911e+00,9.305524094036734528e-01
3.659999999999999698e+00,9.303771267980777138e-01
3.669999999999999929e+00,9.302900966326858034e-01
3.679999999999999716e+00,9.302488902599415077e-01
3.689999999999999947e+00,9.301614404433645733e-01
3.699999999999999734e+00,9.300355348559292690e-01
3.709999999999999964e+00,9.299164857036462672e-01
3.719999999999999751e+00,9.298065854881799597e-01
3.729999999999999982e+00,9.297239254986376933e-01
3.739999999999999769e+00,9.297108989435876047e-01
3.750000000000000000e+00,9.296913584133484898e-01
3.759999999999999787e+00,9.296253651599625245e-01
3.770000000000000018e+00,9.295598986353522664e-01
3.779999999999999805e+00,9.296185253832598416e-01
3.790000000000000036e+00,9.296818626452360013e-01
3.799999999999999822e+00,9.295293101597055241e-01
3.810000000000000053e+00,9.293185379445368932e-01
3.819999999999999840e+00,9.292673756166978105e-01
3.830000000000000071e+00,9.293242447434952869e-01
3.839999999999999858e+00,9.292957394022732798e-01
3.849999999999999645e+00,9.291361835872703479e-01
3.859999999999999876e+00,9.290196504360790364e-01
3.869999999999999662e+00,9.290970834577008119e-01
3.879999999999999893e+00,9.291739232114233360e-01
3.889999999999999680e+00,9.289603024016783728e-01
3.899999999999999911e+00,9.287331441323698478e-01
3.909999999999999698e+00,9.285756876750411726e-01
3.919999999999999929e+00,9.284471335402435521e-01
3.929999999999999716e+00,9.283420734946714603e-01
3.939999999999999947e+00,9.282645049106577062e-01
3.949999999999999734e+00,9.282062445853830335e-01
3.959999999999999964e+00,9.282277501701201583e-01
3.969999999999999751e+00,9.282490924736340743e-01
3.979999999999999982e+00,9.280226301701357539e-01
3.989999999999999769e+00,9.277738429308715062e-01
4.000000000000000000e+00,9.277461703098240919e-01
4.009999999999999787e+00,9.278533444558060284e-01
4.019999999999999574e+00,9.278727094125681640e-01
4.030000000000000249e+00,9.277016396253084940e-01
4.040000000000000036e+00,9.275318687302862575e-01
4.049999999999999822e+00,9.273901528933700122e-01
4.059999999999999609e+00,9.272496641234441173e-01
4.070000000000000284e+00,9.272315562276517431e-01
4.080000000000000071e+00,9.272753985459577519e-01
4.089999999999999858e+00,9.272599561077055075e-01
4.099999999999999645e+00,9.271173814135028612e-01
4.109999999999999432e+00,9.269758670252824517e-01
4.120000000000000107e+00,9.268513249993083347e-01
4.129999999999999893e+00,9.267284240781465954e-01
4.139999999999999680e+00,9.266459307153911418e-01
4.149999999999999467e+00,9.265921328988637740e-01
4.160000000000000142e+00,9.265741956772931553e-01
4.169999999999999929e+00,9.267006240856703325e-01
4.179999999999999716e+00,9.268261626252118912e-01
4.189999999999999503e+00,9.267610623866562314e-01
4.200000000000000178e+00,9.266480909857406356e-01
4.209999999999999964e+00,9.264737118008403716e-01
4.219999999999999751e+00,9.262003409816695898e-01
4.229999999999999538e+00,9.259289860157222662e-01
4.240000000000000213e+00,9.259795799645111902e-01
4.250000000000000000e+00,9.260452682484594522e-01
4.259999999999999787e+00,9.259818998568709603e-01
4.269999999999999574e+00,9.257966304788518563e-01
4.280000000000000249e+00,9.256272674109028431e-01
4.290000000000000036e+00,9.257079061588946445e-01
4.299999999999999822e+00,9.257879895609824050e-01
4.309999999999999609e+00,9.257043837224050442e-01
4.320000000000000284e+00,9.255058718542048535e-01
4.330000000000000071e+00,9.253413608696463566e-01
4.339999999999999858e+00,9.254709780725050017e-01
4.349999999999999645e+00,9.255997200288882398e-01
4.360000000000000320e+00,9.255046668728020842e-01
4.370000000000000107e+00,9.252625943402260633e-01
4.379999999999999893e+00,9.250394625991407160e-01
4.389999999999999680e+00,9.249979240813084314e-01
4.399999999999999467e+00,9.249566699881321963e-01
4.410000000000000142e+00,9.248667363981460943e-01
4.419999999999999929e+00,9.247389212342390641e-01
4.429999999999999716e+00,9.246143184184012487e-01
4.439999999999999503e+00,9.246312578201154597e-01
4.450000000000000178e+00,9.246480832326990917e-01
4.459999999999999964e+00,9.245605893157728961e-01
4.469999999999999751e+00,9.243512403574349889e-01
4.479999999999999538e+00,9.241433384270761886e-01
4.490000000000000213e+00,9.240947257050463604e-01
4.500000000000000000e+00,9.240665369081072500e-01
4.509999999999999787e+00,9.240455963938721817e-01
4.519999999999999574e+00,9.240412342889046116e-01
4.530000000000000249e+00,9.240369008704704124e-01
4.540000000000000036e+00,9.239261199487037723e-01
4.549999999999999822e+00,9.237701358596044354e-01
4.559999999999999609e+00,9.236223489959798361e-01
4.570000000000000284e+00,9.235564871165951040e-01
4.580000000000000071e+00,9.234910606637533048e-01
4.589999999999999858e+00,9.234338900743348511e-01
4.599999999999999645e+00,9.233866717316898676e-01
4.610000000000000320e+00,9.233397625844542711e-01
4.620000000000000107e+00,9.233511679287192964e-01
4.629999999999999893e+00,9.233768121204591894e-01
4.639999999999999680e+00,9.233843941542381195e-01
4.649999999999999467e+00,9.232814873291824709e-01
4.660000000000000142e+00,9.231792535301718283e-01
4.669999999999999929e+00,9.230471835500670963e-01
4.679999999999999716e+00,9.228804570643487359e-01
4.689999999999999503e+00,9.227148256585564479e-01
4.700000000000000178e+00,9.226430475331853787e-01
4.709999999999999964e+00,9.225996965107293724e-01
4.719999999999999751e+00,9.225583664318386390e-01
4.729999999999999538e+00,9.225450750786008403e-01
4.740000000000000213e+00,9.225318678604493838e-01
4.750000000000000000e+00,9.225041714866599740e-01
4.759999999999999787e+00,9.224477309138576775e-01
4.769999999999999574e+00,9.223916482632522618e-01
4.780000000000000249e+00,9.222458607325427771e-01
4.790000000000000036e+00,9.220396786011814116e-01
4.799999999999999822e+00,9.218348293672227189e-01
